CourtLink, which has 160 employees, developed a filing system that enables judges, lawyers and court clerks to process pleadings, motions and other documents electronically over a secure connection.
0	"160 employees"	"be has by"	"CourtLink"
0	"CourtLink"	"developed"	"a filing system that enables judges , lawyers and court clerks to process pleadings , motions and other documents electronically over a secure connection"
0	"CourtLink"	"developed"	"a filing system"
0	"CourtLink"	"has"	"160 employees"
0	"a filing system"	"enables"	"court clerks electronically"
0	"a filing system"	"enables"	"court clerks over a secure connection"
0	"a filing system"	"enables"	"court clerks to motions"
0	"a filing system"	"enables"	"court clerks to other documents"
0	"a filing system"	"enables"	"court clerks to process pleadings"
0	"a filing system"	"enables"	"court clerks"
0	"a filing system"	"enables"	"judges lawyers and court clerks electronically"
0	"a filing system"	"enables"	"judges lawyers and court clerks over a secure connection"
0	"a filing system"	"enables"	"judges lawyers and court clerks to process pleadings motions and other documents"
0	"a filing system"	"enables"	"judges lawyers and court clerks"
0	"a filing system"	"enables"	"judges lawyers electronically"
0	"a filing system"	"enables"	"judges lawyers over a secure connection"
0	"a filing system"	"enables"	"judges lawyers to motions"
0	"a filing system"	"enables"	"judges lawyers to other documents"
0	"a filing system"	"enables"	"judges lawyers to process pleadings"
0	"a filing system"	"enables"	"judges lawyers"
0	"a filing system"	"enables"	"judges"
0	"judges , lawyers and court clerks"	"to process electronically"	"pleadings , motions and other documents"
0	"judges , lawyers and court clerks"	"to process motions electronically over"	"a secure connection"
0	"judges , lawyers and court clerks"	"to process other documents electronically over"	"a secure connection"
0	"judges , lawyers and court clerks"	"to process pleadings , electronically over"	"a secure connection"
0	"pleadings , motions and other documents"	"to be process electronically over"	"a secure connection"
A graduate of the University of Arizona, she is a lecturer in writing at Princeton University and an author under the name of Kathryn Watterson Burkhart.
1	"she"	"be an author under"	"the name of Kathryn Watterson Burkhart"
1	"she"	"is"	"a lecturer A graduate of the University of Arizona in writing at Princeton University and an author under the name of Kathryn Watterson Burkhart"
1	"she"	"is"	"a lecturer A graduate of the University of Arizona in writing at Princeton University under the name of Kathryn Watterson Burkhart"
1	"she"	"is"	"a lecturer A graduate of the University of Arizona in writing at an author under the name of Kathryn Watterson Burkhart"
1	"she"	"is"	"a lecturer A graduate of the University of Arizona"
1	"she"	"is"	"a lecturer in writing at Princeton University and an author"
1	"she"	"is"	"a lecturer"
The events occurred in July.
2	"The events"	"occurred in"	"July"
2	"The events"	"occurred"	"in July"
Terrorist attacks by E.T.A. have declined in recent years and the number of its hardcore militants is thought to have fallen from the hundreds of 15 years ago to several score.
3	"E.T.A."	"have declined in"	"recent years"
3	"Terrorist attacks by E.T.A."	"have declined"	"in recent years"
3	"its"	"has"	"hardcore militants"
3	"the number of its hardcore militants"	"have declined in"	"recent years"
3	"the number of its hardcore militants"	"is thought"	"to have fallen from the hundreds of 15 years ago to several score"
Mr. Mahdi and Mr. Chalabi say they aim to form a "national unity" government with Iraq's main political leaders, presumably including Mr. Allawi.
4	"Iraq"	"has"	"main political leaders"
4	"Mr. Chalabi"	"say"	"they aim to form a national unity government with Iraq 's main political leaders"
4	"Mr. Chalabi"	"say"	"they"
4	"Mr. Mahdi and Mr. Chalabi"	"say"	"they aim to form a national unity government with Iraq 's main political leaders"
4	"Mr. Mahdi"	"say"	"they aim to form a national unity government with Iraq 's main political leaders"
4	"a "national unity " government"	"to be form with"	"Iraq 's main political leaders"
4	"they"	"aim to form a "national unity " government with"	"Iraq 's main political leaders"
4	"they"	"aim to form"	"a "national unity " government"
4	"they"	"aim"	"to form a national unity government with Iraq 's main political leaders"
"The girls want to protect themselves."
5	"The girls"	"want to protect"	"themselves"
5	"The girls"	"want"	"to protect themselves"
He also had stints with the New York Philharmonic, Metropolitan Opera Orchestra, CBS Symphony and Symphony of the Air, the NBC Symphony's successor.
6	"He"	"also had stints with"	"the New York Philharmonic"
6	"He"	"also had"	"stints"
6	"He"	"had"	"stints with CBS Symphony of the Air also"
6	"He"	"had"	"stints with CBS Symphony of the Air"
6	"He"	"had"	"stints with Metropolitan Opera Orchestra of the Air also"
6	"He"	"had"	"stints with Metropolitan Opera Orchestra of the Air"
6	"He"	"had"	"stints with Symphony of the Air also"
6	"He"	"had"	"stints with Symphony of the Air"
6	"He"	"had"	"stints with the New York Philharmonic Metropolitan Opera Orchestra CBS Symphony and Symphony of the Air also"
6	"He"	"had"	"stints with the New York Philharmonic Metropolitan Opera Orchestra CBS Symphony and Symphony of the Air"
6	"He"	"had"	"stints with the New York Philharmonic of the Air also"
6	"He"	"had"	"stints with the New York Philharmonic of the Air"
6	"the Air"	"be successor of"	"the NBC Symphony"
6	"the Air"	"is"	"the NBC Symphony 's successor"
6	"the NBC Symphony"	"has"	"successor"
In recent weeks, as the incentive wars have escalated, other automakers have beefed up their warranties.
7	"other automakers"	"have beefed up their warranties in"	"recent weeks"
7	"other automakers"	"have beefed up"	"their warranties In recent weeks"
7	"other automakers"	"have beefed up"	"their warranties as the incentive wars have escalated"
7	"other automakers"	"have beefed up"	"their warranties"
7	"the incentive wars"	"have escalated"
7	"their"	"has"	"warranties"
President Bush deserves much credit for sharply increasing United States financing for AIDS prevention programs overseas.
8	"President Bush"	"deserves"	"much credit for sharply increasing United States financing for AIDS prevention programs overseas"
8	"President Bush"	"deserves"	"much credit"
"The opportunity is significant and I hope we can take the opportunity to move forward," he said referring to his coming trip to Britain.
9	"I"	"hope"	"we can take the opportunity to move forward"
9	"I"	"hope"	"we"
9	"I"	"is"	"significant"
9	"The opportunity"	"is"	"significant"
9	"he"	"said referring to"	"his coming trip"
9	"he"	"said"	"I hope we can take the opportunity to move forward referring to his coming trip to Britain"
9	"he"	"said"	"I hope we can take the opportunity to move forward referring to his coming trip"
9	"he"	"said"	"The opportunity is significant and I hope we can take the opportunity to move forward referring to his coming trip to Britain"
9	"he"	"said"	"The opportunity is significant and I hope we can take the opportunity to move forward referring to his coming trip"
9	"he"	"said"	"The opportunity is significant referring to his coming trip to Britain"
9	"he"	"said"	"The opportunity is significant referring to his coming trip"
9	"his"	"has"	"coming trip"
9	"we"	"can take"	"the opportunity to move forward"
9	"we"	"can take"	"the opportunity"
And, since, as any reputable language teacher knows, bilingualism in the school merely reinforces what the child hears at home - and slows his learning of English - the whole idea is pointless.
10	"any reputable language teacher"	"knows"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home and slows his learning of English as any reputable language teacher knows"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home and slows his learning of English merely"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home and slows his learning of English since"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home and slows his learning of English"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home as any reputable language teacher knows"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home merely"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home since"
10	"bilingualism in the school"	"reinforces"	"what the child hears at home"
10	"bilingualism in the school"	"reinforces"	"what the child slows his learning of English as any reputable language teacher knows"
10	"bilingualism in the school"	"reinforces"	"what the child slows his learning of English merely"
10	"bilingualism in the school"	"reinforces"	"what the child slows his learning of English since"
10	"bilingualism in the school"	"reinforces"	"what the child slows his learning of English"
10	"bilingualism"	"slows"	"his learning of English"
10	"his"	"has"	"learning of English"
10	"home"	"slows"	"his learning of English"
10	"the child"	"hears at"	"home"
10	"the child"	"hears"	"what at home"
10	"the child"	"hears"	"what"
10	"the child"	"slows"	"what his learning of English"
10	"the whole idea"	"is"	"pointless"
In its most recent survey, the Congress for New Urbanism, a nonprofit organization based in Chicago, reported 648 neighborhood-scale New Urbanist communities in the United States, an increase of 176 over a 12-month period.
11	"648 neighborhood-scale New Urbanist communities"	"be reported in"	"its most recent survey"
11	"New Urbanism"	"is"	"a nonprofit organization based in Chicago"
11	"New Urbanist"	"be communities in"	"the United States"
11	"a nonprofit organization based in Chicago"	"be the Congress for"	"New Urbanism"
11	"a nonprofit organization"	"be based in"	"Chicago"
11	"a nonprofit organization"	"be based"	"in Chicago"
11	"a nonprofit organization"	"reported"	"648 neighborhood-scale New Urbanist communities"
11	"its"	"has"	"most recent survey"
11	"the Congress for New Urbanism"	"reported"	"648 neighborhood-scale New Urbanist communities In its most recent survey"
11	"the Congress for New Urbanism"	"reported"	"648 neighborhood-scale New Urbanist communities in the United States"
11	"the Congress for New Urbanism"	"reported"	"648 neighborhood-scale New Urbanist communities over a 12-month period"
11	"the Congress for New Urbanism"	"reported"	"648 neighborhood-scale New Urbanist communities"
11	"the Congress"	"reported 648 neighborhood-scale New Urbanist communities in the United States , an increase of 176 over a 12-month period in"	"its most recent survey"
11	"the Congress"	"reported"	"648 neighborhood-scale New Urbanist communities"
11	"the United States"	"be 648 neighborhood-scale New Urbanist communities in"	"an increase of 176"
11	"the United States"	"be an increase of 176 over"	"a 12-month period"
11	"the United States"	"be an increase of"	"176"
11	"the United States"	"is"	"an increase of 176"
Meanwhile, the truth - that in most families where child abuse (sexual or otherwise) takes place, women are also victimized, either through dominance and control or actual violence - that reality is smokescreened, and the problem of the powerful abusing their power is perpetuated.
12	"child abuse otherwise"	"takes"	"place are also victimized where"
12	"child abuse otherwise"	"takes"	"place are also victimized"
12	"child abuse otherwise"	"through"	"actual violence"
12	"child abuse otherwise"	"through"	"control"
12	"child abuse otherwise"	"through"	"dominance"
12	"child abuse sexual or otherwise"	"takes"	"place are also victimized where"
12	"child abuse sexual or otherwise"	"takes"	"place are also victimized"
12	"child abuse sexual or otherwise"	"through"	"dominance and control or actual violence"
12	"child abuse sexual"	"takes"	"place are also victimized where"
12	"child abuse sexual"	"takes"	"place are also victimized"
12	"child abuse sexual"	"through"	"actual violence"
12	"child abuse sexual"	"through"	"control"
12	"child abuse sexual"	"through"	"dominance"
12	"child abuse"	"sexual or otherwise"	"takes place"	"are also victimized in"	"most families"
12	"child abuse"	"sexual or otherwise"	"takes place"	"are also victimized through"	"dominance and control or actual violence"
12	"child abuse"	"takes"	"place"
12	"place"	"are victimized"
12	"place"	"are victimized"	"also"
12	"place"	"be takes by"	"child abuse"
12	"place"	"is"	"women"
12	"reality"	"is smokescreened"
12	"the powerful"	"be abusing"	"their power"
12	"the truth that in most families either through actual violence that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"
12	"the truth that in most families either through actual violence that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"	"Meanwhile"
12	"the truth that in most families either through control that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"
12	"the truth that in most families either through control that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"	"Meanwhile"
12	"the truth that in most families either through dominance that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"
12	"the truth that in most families either through dominance that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"	"Meanwhile"
12	"the truth that in most families where child abuse otherwise takes place are also victimized either through dominance and control or actual violence that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"
12	"the truth that in most families where child abuse otherwise takes place are also victimized either through dominance and control or actual violence that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"	"Meanwhile"
12	"the truth that in most families where child abuse sexual or otherwise takes place are also victimized either through dominance and control or actual violence that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"
12	"the truth that in most families where child abuse sexual or otherwise takes place are also victimized either through dominance and control or actual violence that reality is smokescreened and the problem of the powerful abusing their power"	"is perpetuated"	"Meanwhile"
12	"the truth that in most families where child abuse sexual takes place are also victimized either that reality is smokescreened"	"is perpetuated"
12	"the truth that in most families where child abuse sexual takes place are also victimized either that reality is smokescreened"	"is perpetuated"	"Meanwhile"
12	"the truth the problem of the powerful abusing their power"	"is perpetuated"
12	"the truth the problem of the powerful abusing their power"	"is perpetuated"	"Meanwhile"
12	"their power"	"is perpetuated in"	"the powerful abusing"
12	"their"	"has"	"power"
12	"women"	"are also victimized in"	"most families"
12	"women"	"are also victimized through"	"dominance and control or actual violence"
It goes against all that this country stands for.
13	"It"	"goes against"	"all"
13	"It"	"goes"	"against all that this country stands for"
13	"It"	"goes"	"that this country stands for"
13	"this country"	"stands"	"for"
But inexpensive point-and-shoot cameras can do the job if they have a telephoto setting or a zoom lens.
14	"inexpensive point-and-shoot cameras"	"can do"	"the job if they have a telephoto setting or a zoom lens"
14	"inexpensive point-and-shoot cameras"	"can do"	"the job if they have a telephoto setting"
14	"inexpensive point-and-shoot cameras"	"can do"	"the job if they have a zoom lens"
14	"inexpensive point-and-shoot cameras"	"can do"	"the job"
14	"inexpensive point-and-shoot cameras"	"can do"	"the job"	"[enabler=if they have a telephoto setting or a zoom lens]"
14	"they"	"have"	"a telephoto setting or a zoom lens"
14	"they"	"have"	"a telephoto setting"
14	"they"	"have"	"a zoom lens"
Few have tried, and far fewer have succeeded.
15	"Few"	"fewer"	"have succeeded far"
15	"Few"	"fewer"	"have succeeded"
15	"Few"	"have tried"
We can use a little more of that trust this year.
16	"We"	"can use"	"a little more of that trust this year"
16	"We"	"can use"	"a little more of that trust"
The Embassy said 6,700 Americans were in Pakistan.
17	"6,700 Americans"	"were in"	"Pakistan"
17	"6,700 Americans"	"were in"	"Pakistan"	"[attrib=The Embassy said]"
17	"6,700 Americans"	"were"	"in Pakistan"
17	"The Embassy"	"said"	"6,700 Americans were in Pakistan"
17	"The Embassy"	"said"	"6,700 Americans"
Along with Dow Jones and Microsoft, the companies included CNN, but not its parent, AOL Time Warner.
18	"its parent"	"is"	"AOL Time Warner"
18	"its"	"has"	"parent"
18	"the companies"	"included"	"CNN Along with Dow Jones"
18	"the companies"	"included"	"CNN Along with Dow Microsoft"
18	"the companies"	"included"	"CNN but not its parent Along with Dow Jones and Microsoft"
18	"the companies"	"included"	"CNN but not its parent"
18	"the companies"	"included"	"CNN"
18	"the companies"	"included"	"CNN,"
18	"the companies"	"included"	"its parent Along with Dow Jones"
18	"the companies"	"included"	"its parent Along with Dow Microsoft"
18	"the companies"	"included"	"its parent"
"I'd recommend three Xanax, a great bottle of cabernet and looking for a new publicist.
19	"I"	"'d recommend"	"three Xanax"
19	"I"	"looking for"	"a new publicist"
19	"I"	"looking"	"for a new publicist"
19	"three Xanax"	"be a great bottle of"	"cabernet"
19	"three Xanax"	"is"	"a great bottle of cabernet"
The case is being appealed.
20	"The case"	"is being appealed"
Doctors in Pennsylvania and West Virginia are expected to notify S.M.I. bioterror experts of any "suspicious event," from an unusual rash to a finger lost in an explosion, identifying but not informing the patient.
21	"Doctors in Pennsylvania Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash identifying"
21	"Doctors in Pennsylvania Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash informing the patient"
21	"Doctors in Pennsylvania Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash to a finger lost in an explosion identifying"
21	"Doctors in Pennsylvania Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash to a finger lost in an explosion informing the patient"
21	"Doctors in Pennsylvania and West Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash identifying but not informing the patient"
21	"Doctors in Pennsylvania and West Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash to a finger lost in an explosion identifying but not informing the patient"
21	"Doctors in West Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash identifying"
21	"Doctors in West Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash informing the patient"
21	"Doctors in West Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash to a finger lost in an explosion identifying"
21	"Doctors in West Virginia"	"are expected"	"to notify S.M.I. bioterror experts of any suspicious event from an unusual rash to a finger lost in an explosion informing the patient"
21	"Doctors"	"are expected from"	"an unusual rash"
21	"Doctors"	"to notify"	"S.M.I. bioterror experts of any " suspicious event"
21	"a finger"	"be lost in"	"an explosion"
21	"a finger"	"be lost"	"in an explosion"
Nothing else is untouched, regardless of its provenance.
22	"Nothing else"	"is regardless of its provenance"	"untouched"
22	"Nothing else"	"is untouched"	"regardless of its provenance"
22	"its"	"has"	"provenance"
A large influx is going to create problems.
23	"A large influx"	"is going to create"	"problems"
23	"A large influx"	"is going"	"to create problems"
23	"A large influx"	"to create"	"problems"
Morningwood Ulysses S. Grant, the second-ranked basset hound in 1998, was received, the quota had been filled.
24	"Morningwood Ulysses S. Grant"	"be the second-ranked basset hound in"	"1998"
24	"Morningwood Ulysses S. Grant"	"is"	"the second-ranked basset hound in 1998"
24	"Morningwood Ulysses S. Grant"	"was received"
24	"the quota"	"had been filled"	"Morningwood Ulysses S. Grant was received"
24	"the second-ranked basset"	"be hound"	"in 1998"
McGaughey said that Personal Ensign might race again in New York this year and definitely would race next year and be pointed for the Breeders' Cup.
25	"McGaughey"	"said"	"that Personal Ensign might race again in New York this year"
25	"McGaughey"	"would be pointed for the Breeders Cup"	"definitely next year"
25	"McGaughey"	"would be pointed for the Breeders Cup"	"next year"
25	"McGaughey"	"would race"	"next year definitely"
25	"McGaughey"	"would race"	"next year"
25	"Personal Ensign"	"be pointed for"	"the Breeders ' Cup"	"[attrib=McGaughey said]"
25	"Personal Ensign"	"might be race again in"	"New York"	"[attrib=McGaughey said]"
25	"Personal Ensign"	"might race again in"	"New York"
25	"Personal Ensign"	"might race"	"again in New York this year"
25	"Personal Ensign"	"might race"	"again"
25	"the Breeders"	"has"	"Cup"
25	"this year"	"be pointed for"	"the Breeders ' Cup"
The region is still far from rebuilt, despite Government promises to have the work completed within two years, and there have been accusations of corruption and misuse of relief funds.
26	"Government"	"completed within"	"two years"
26	"Government"	"have been accusations of"	"corruption and misuse of relief funds"
26	"Government"	"promises to have"	"the work"
26	"The region"	"is"	"far and despite Government promises to have the work completed within two years"
26	"The region"	"is"	"far and from rebuilt"
26	"The region"	"is"	"far and still"
26	"The region"	"is"	"far and"
26	"The region"	"is"	"far despite Government promises to have the work completed within two years"
26	"The region"	"is"	"far from rebuilt"
26	"The region"	"is"	"far still"
26	"The region"	"is"	"far"
26	"the work"	"be completed"	"within two years"
26	"the work"	"completed within"	"two years"
Simmons said she would not reveal her opinion on reparations so as not to influence the committee.
27	"Simmons"	"said"	"she would not reveal her opinion on reparations so as not to influence the committee"
27	"Simmons"	"said"	"she"
27	"her"	"has"	"opinion"
27	"she"	"be her opinion on"	"reparations"
27	"she"	"would not reveal"	"her opinion on reparations to influence the committee"
27	"she"	"would not reveal"	"her opinion to influence the committee"
27	"she"	"would not reveal"	"her opinion"
27	"she"	"would not reveal"	"her opinion"	"[attrib=Simmons said]"
An asbestos and lead survey found "a substantial amount" of asbestos in the buildings.
28	"An asbestos and lead survey"	"found"	"a substantial amount " of asbestos"
28	"An asbestos and lead survey"	"found"	"a substantial amount of asbestos in the buildings"
28	"An asbestos and lead survey"	"found"	"a substantial amount of asbestos"
28	"An asbestos survey"	"found"	"a substantial amount of asbestos in the buildings"
28	"An asbestos survey"	"found"	"a substantial amount of asbestos"
28	"An lead survey"	"found"	"a substantial amount of asbestos in the buildings"
28	"An lead survey"	"found"	"a substantial amount of asbestos"
Meanwhile, Ms. Coughlin is pursuing her case in a Federal court in Nevada against the last remaining defendant, the Las Vegas Hilton, which has denied it negligently failed to provide adequate security.
29	"Ms. Coughlin"	"Meanwhile is pursuing her case against"	"the last remaining defendant"
